Academic year ending,All recipients Bachelor's,Male Bachelor's,Female Bachelor's,All recipients Master's,Male Master's,Female Master's,All recipients Doctoratea,Male Doctoratea,Female Doctoratea
1966,23477,16143,7334,4224,3077,1147,2135,1818,317
1967,25476,17686,7790,4988,3707,1281,2360,1971,389
1968,28710,19993,8717,5517,3963,1554,2827,2351,476
1969,32388,22663,9725,5765,4096,1669,3092,2566,526
1970,34303,24061,10242,5835,3991,1844,3361,2846,515
1971,36033,25462,10571,5756,3813,1943,3654,3023,631
1972,37638,26491,11147,6126,4099,2027,3600,2957,643
1973,42672,29848,12824,6294,4370,1924,3649,2890,759
1974,48856,33478,15378,6581,4567,2014,3484,2745,739
1975,52236,34820,17416,6591,4615,1976,3498,2692,806
1976,54913,35794,19119,6621,4518,2103,3573,2770,803
1977,54193,34474,19719,7154,4738,2416,3484,2697,787
1978,52213,31990,20223,6851,4421,2430,3516,2623,893
1979,49576,29471,20105,6879,4287,2592,3646,2695,951
1980,47111,27135,19976,6536,4111,2425,3803,2750,1053
1981,44046,24460,19586,6015,3675,2340,3803,2716,1087
1982,42427,23064,19363,5931,3450,2481,3893,2752,1141
1983,40883,21926,18957,5741,3236,2505,3741,2508,1233
1984,39639,20948,18691,5440,3010,2430,3880,2665,1215
1985,39405,20435,18970,5095,2666,2429,3793,2555,1238
1986,39509,20396,19113,5048,2629,2419,3807,2527,1280
1987,39047,20039,19008,4999,2555,2444,3839,2479,1360
1988,37688,18608,19080,4810,2439,2371,4111,2606,1505
1989,36949,18295,18654,4953,2491,2462,4117,2574,1543
1990,38040,18631,19409,4893,2393,2500,4328,2713,1615
1991,40351,19715,20636,4806,2315,2491,4649,2863,1773
1992,43892,21121,22771,4848,2318,2530,4799,2952,1831
1993,47989,23145,24844,4840,2374,2466,5092,3014,2050
1994,52321,25341,26980,5276,2496,2780,5202,3075,2109
1995,56890,26972,29918,5495,2637,2858,5376,3132,2217
1996,62081,29216,32865,6286,2945,3341,5724,3288,2415
1997,65139,29873,35266,6594,3076,3518,5788,3262,2496
1998,67112,30011,37101,6368,3014,3354,5846,3295,2536
2000,64887,26936,37951,6329,2816,3513,5853,3225,2622
2001,62010,24972,37038,6487,2732,3755,5694,3136,2549
2002,61675,24030,37645,6341,2668,3673,5695,3146,2547
2003,63517,24023,39494,6883,2864,4019,5696,3091,2605
2004,64750,24319,40431,7644,3160,4484,5942,3184,2758
2005,67972,25698,42274,8120,3233,4887,6366,3252,3106
2006,72972,27917,45055,8718,3612,5106,6649,3375,3270
2007,79348,31347,48001,8794,3541,5253,7179,3675,3499
2008,82398,33136,49262,9565,3954,5611,7793,3854,3929
2009,85574,34477,51097,9921,4146,5775,8024,3834,4184
2010,89615,36737,52878,10668,4485,6183,8052,3829,4220
